2025-09-14 15:40:16.697556: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:41:16.696740: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:42:16.686547: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:42:22.197778: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:43:16.698627: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:43:22.195754: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:44:59.674027: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:45:59.680816: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:46:59.670546: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:47:59.676508: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:48:59.664964: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:49:59.670930: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:50:59.682575: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:51:59.673090: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:52:51.289529: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:52:59.681188: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:53:51.285504: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:53:59.671064: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:54:51.284392: expected str, bytes or os.PathLike object, not bool
2025-09-14 15:54:59.674556: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:51:47.601563: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:52:46.925154: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:52:47.605590: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:53:46.930604: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:53:47.599423: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:54:46.925317: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:54:47.605701: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:55:46.923431: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:55:47.610355: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:56:46.919993: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:56:47.605252: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:57:46.932188: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:57:47.603029: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:58:46.926621: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:58:47.599919: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:59:46.928672: expected str, bytes or os.PathLike object, not bool
2025-09-14 19:59:47.604009: expected str, bytes or os.PathLike object, not bool
2025-09-14 20:00:46.931051: expected str, bytes or os.PathLike object, not bool
2025-09-14 20:00:47.599846: expected str, bytes or os.PathLike object, not bool
2025-09-14 20:01:46.923641: expected str, bytes or os.PathLike object, not bool
2025-09-14 20:01:47.605408: expected str, bytes or os.PathLike object, not bool
2025-09-14 20:02:46.927736: expected str, bytes or os.PathLike object, not bool
2025-09-14 20:02:47.598263: expected str, bytes or os.PathLike object, not bool
